ID,ADDRESS,CITY,STATE,ZIP CODE,WARD,PRECINCT,POLICE DISTRICT,LATITUDE,LONGITUDE
1981204-20101116,2041 W DIVISION ST 1 ,CHICAGO,IL,60622,1,3,12,41.90305126,-87.67889197
1985078-20101116,1415 N DAYTON ST 4 4,CHICAGO,IL,60642,32,46,18,41.90684767,-87.64924997
1515217-20110316,207 E OHIO ST UNIT B ,CHICAGO,IL,60611,42,41,18,41.8924552,-87.62233924
1893780-20110316,444 N MICHIGAN AVE 33RD 3310,CHICAGO,IL,60611,42,48,18,41.89071448,-87.62426987
1548357-20110316,875 N MICHIGAN AVE  ,CHICAGO,IL,60611,42,43,18,41.89894854,-87.62397499
1595246-20110316,625 N MICHIGAN AVE  1800,CHICAGO,IL,60611,42,53,18,41.89329954,-87.6240647
2129078-20111213,6639 N AVONDALE AVE 1ST ,CHICAGO,IL,60631,41,7,16,42.00096066,-87.81693967
1985998-20101116,1717 W NORTH AVE 1ST C - 101,CHICAGO,IL,60622,1,21,14,41.91047742,-87.67082119
1908116-20110316,401 N WABASH AVE 1ST ,CHICAGO,IL,60611,42,55,18,41.88928401,-87.62654855
1986479-20101116,1547 W CHICAGO AVE 1ST ,CHICAGO,IL,60642,27,35,12,41.89597324,-87.66674389
1987022-20101116,1564 N DAMEN AVE 2ND 208,CHICAGO,IL,60622,1,8,14,41.91013159,-87.67758957
1959542-20110316,401 N MICHIGAN AVE 12TH 1200,CHICAGO,IL,60611,42,53,18,41.88935425,-87.62410246
63927-20110316,645 N MICHIGAN AVE 1ST ,CHICAGO,IL,60611,42,53,18,41.89391861,-87.62408583
26773-20110316,4200 W LAWRENCE AVE 1ST ,CHICAGO,IL,60630,39,8,17,41.96829476,-87.73303178
14173-20110316,6009 N LINCOLN AVE  1,CHICAGO,IL,60659,50,23,24,41.99064212,-87.70756938
23918-20110316,110 E OAK ST 1ST ,CHICAGO,IL,60611,42,24,18,41.9009068,-87.62520628
77408-20110316,3940 W 26TH ST 1 #,CHICAGO,IL,60623,22,4,10,41.84437404,-87.72367057
1922607-20100816,3052 W CERMAK RD 1ST ,CHICAGO,IL,60623,24,53,10,41.85191341,-87.70245783
1898563-20100916,216 W JACKSON BLVD 10TH 1020,CHICAGO,IL,60606,2,49,1,41.87822324,-87.63424738
13356-20110316,633 N MICHIGAN AVE  ,CHICAGO,IL,60611,42,53,18,41.89355823,-87.62407409
38093-20110316,1100 W CERMAK RD  B411,CHICAGO,IL,60608,25,2,12,41.85265429,-87.65308818
1992468-20101116,6160 N CICERO AVE 3RD 308,CHICAGO,IL,60646,39,15,16,41.99294944,-87.74848
1997592-20101116,848 W EASTMAN ST 1ST 104,CHICAGO,IL,60642,32,46,18,41.90754214,-87.65020288
1576122-20110316,1051 N RUSH ST  ,CHICAGO,IL,60611,42,1,18,41.90237769,-87.6281631
1998598-20101116,1532 N MILWAUKEE AVE 1ST ,CHICAGO,IL,60622,1,8,14,41.90927856,-87.67597394
1879856-20110316,520 N MICHIGAN AVE 2ND KIOSK,CHICAGO,IL,60611,42,48,18,41.89168852,-87.62430718
1922794-20110316,55 E GRAND AVE 1ST G-01,CHICAGO,IL,60611,42,22,18,41.89159074,-87.62586714
1998728-20101116,4124 W PETERSON AVE 1 ,CHICAGO,IL,60646,39,26,17,41.99019684,-87.73236352
1998801-20101116,2136 W DIVISION ST 1 1,CHICAGO,IL,60622,32,3,14,41.90323183,-87.6811883
2002546-20101116,1348 W CONCORD PL 1 AND 2 ,CHICAGO,IL,60642,32,,,41.9120863,-87.66232133
